"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
5,17,"petite","second",3770,4110,370946,629137,8220,1258274,279,428,29088,71041,856,142082,"10mill-boot"
5,18,"petite","second",3749,4206,365299,634737,8412,1269474,274,441,29324,70979,882,141958,"10mill-boot"
5,19,"petite","second",3637,4313,354210,645895,8626,1291790,290,418,30985,69088,836,138176,"10mill-boot"
5,20,"petite","second",3689,4174,364071,635998,8348,1271996,281,417,29256,70804,834,141608,"10mill-boot"
5,21,"petite","second",3773,4178,369963,630211,8356,1260422,297,422,32241,67765,844,135530,"10mill-boot"
5,22,"petite","second",3710,4226,360785,639289,8452,1278578,274,446,27992,72107,892,144214,"10mill-boot"
5,23,"petite","second",3755,4183,366594,633604,8366,1267208,273,447,28984,71149,894,142298,"10mill-boot"
5,24,"petite","second",3817,4159,369508,630531,8318,1261062,303,442,31653,68480,884,136960,"10mill-boot"
5,25,"petite","second",3695,4257,358854,641181,8514,1282362,257,434,27551,72493,868,144986,"10mill-boot"
5,26,"petite","second",3718,4250,360779,639227,8500,1278454,274,442,28854,71170,884,142340,"10mill-boot"
5,27,"petite","second",3788,4153,368860,631168,8306,1262336,293,434,30651,69469,868,138938,"10mill-boot"
5,28,"petite","second",3753,4205,367050,632991,8410,1265982,279,439,29410,70655,878,141310,"10mill-boot"
5,29,"petite","second",3717,4190,365291,634979,8380,1269958,277,428,29168,70882,856,141764,"10mill-boot"
5,30,"petite","second",3723,4201,367056,633167,8402,1266334,293,428,30512,69521,856,139042,"10mill-boot"
31,1,"petite","second",3851,4117,371355,628671,8234,1257342,328,416,33838,66447,832,132894,"10mill-boot"
